iter	Passed	Remaining
0	0	84
1	1	81
2	2	76
3	2	70
4	3	70
5	4	68
6	5	68
7	5	67
8	6	66
9	7	66
10	8	66
11	8	65
12	9	65
13	10	66
14	11	65
15	12	65
16	13	64
17	14	63
18	14	63
19	15	62
20	16	62
21	17	62
22	18	61
23	19	61
24	20	60
25	20	59
26	21	58
27	22	57
28	23	57
29	24	56
30	25	55
31	25	54
32	26	54
33	27	53
34	28	52
35	29	51
36	30	51
37	30	50
38	31	49
39	32	48
40	33	48
41	33	46
42	34	45
43	35	44
44	36	44
45	37	43
46	37	42
47	38	41
48	39	41
49	40	40
50	41	39
51	41	38
52	42	38
53	43	37
54	44	36
55	45	35
56	45	34
57	46	33
58	47	32
59	48	32
60	49	31
61	50	30
62	50	29
63	51	29
64	52	28
65	53	27
66	54	26
67	54	25
68	55	25
69	56	24
70	57	23
71	58	22
72	59	21
73	59	21
74	60	20
75	61	19
76	62	18
77	63	17
78	64	17
79	64	16
80	65	15
81	66	14
82	67	13
83	68	12
84	68	12
85	69	11
86	70	10
87	71	9
88	72	8
89	73	8
90	74	7
91	75	6
92	75	5
93	76	4
94	77	4
95	78	3
96	78	2
97	79	1
98	80	0
99	81	0
